,Unnamed: 0,Date,Stage,Team,Home Goals,Team Against,Against Goals,Result,Win Conditions,Host Team
3727,7454,1950-11-12,Friendly,Netherlands,2,Belgium,7,Loss,normal ending,True
3730,7461,1950-11-15,British Championship,England,4,Wales,2,Win,normal ending,True
3731,7462,1950-11-15,British Championship,Wales,2,England,4,Loss,normal ending,True
3734,7469,1950-11-22,Friendly,Germany,1,Switzerland,0,Win,normal ending,True
3735,7470,1950-11-22,Friendly,Switzerland,0,Germany,1,Loss,normal ending,True
3736,7473,1950-12-10,Friendly,France,5,Netherlands,2,Win,normal ending,True
3737,7474,1950-12-10,Friendly,Netherlands,2,France,5,Loss,normal ending,True
3740,7481,1951-02-18,Friendly,Spain,6,Switzerland,3,Win,normal ending,True
3741,7482,1951-02-18,Friendly,Switzerland,3,Spain,6,Loss,normal ending,True
3756,7513,1951-04-15,Friendly,Netherlands,5,Belgium,4,Win,normal ending,True
3757,7514,1951-04-15,Friendly,Belgium,4,Netherlands,5,Loss,normal ending,True
3758,7517,1951-04-15,Friendly,Switzerland,2,Germany,3,Loss,normal ending,True
3759,7518,1951-04-15,Friendly,Germany,3,Switzerland,2,Win,normal ending,True
3760,7521,1951-05-09,Friendly,England,2,Argentina,1,Win,normal ending,True
3761,7522,1951-05-09,Friendly,Argentina,1,England,2,Loss,normal ending,True
3766,7533,1951-05-12,Friendly,Wales,2,Portugal,1,Win,normal ending,True
3767,7534,1951-05-12,Friendly,Portugal,1,Wales,2,Loss,normal ending,True
3772,7545,1951-05-16,Friendly,Wales,3,Switzerland,2,Win,normal ending,True
3773,7546,1951-05-16,Friendly,Switzerland,2,Wales,3,Loss,normal ending,True
3774,7549,1951-05-19,Friendly,England,5,Portugal,2,Win,normal ending,True
3775,7550,1951-05-19,Friendly,Portugal,2,England,5,Loss,normal ending,True
3784,7569,1951-06-10,Friendly,Belgium,3,Spain,3,Draw,normal ending,True
3785,7570,1951-06-10,Friendly,Spain,3,Belgium,3,Draw,normal ending,True
3790,7581,1951-06-17,Friendly,Portugal,1,Belgium,1,Draw,normal ending,True
3791,7582,1951-06-17,Friendly,Belgium,1,Portugal,1,Draw,normal ending,True
3802,7605,1951-10-03,Friendly,England,2,France,2,Draw,normal ending,True
3803,7606,1951-10-03,Friendly,France,2,England,2,Draw,normal ending,True
3806,7613,1951-10-14,Friendly,Switzerland,1,France,2,Loss,normal ending,True
3807,7614,1951-10-14,Friendly,France,2,Switzerland,1,Win,normal ending,True
3812,7625,1951-10-20,British Championship,Wales,1,England,1,Draw,normal ending,True
3813,7626,1951-10-20,British Championship,England,1,Wales,1,Draw,normal ending,True
3826,7653,1951-11-25,Friendly,Netherlands,6,Belgium,7,Loss,normal ending,True
3827,7654,1951-11-25,Friendly,Belgium,7,Netherlands,6,Win,normal ending,True
3840,7681,1952-03-23,Pan American Championship,Mexico,1,Uruguay,3,Loss,normal ending,False
3841,7682,1952-03-23,Pan American Championship,Uruguay,3,Mexico,1,Win,normal ending,False
3850,7701,1952-04-06,Friendly,Belgium,4,Netherlands,2,Win,normal ending,True
3851,7702,1952-04-06,Friendly,Netherlands,2,Belgium,4,Loss,normal ending,True
3852,7705,1952-04-06,Pan American Championship,Brazil,2,Mexico,0,Win,normal ending,False
3853,7706,1952-04-06,Pan American Championship,Mexico,0,Brazil,2,Loss,normal ending,False
3864,7729,1952-04-16,Pan American Championship,Brazil,4,Uruguay,2,Win,normal ending,False
3865,7730,1952-04-16,Pan American Championship,Uruguay,2,Brazil,4,Loss,normal ending,False
3868,7737,1952-04-20,Friendly,France,3,Portugal,0,Win,normal ending,True
3869,7738,1952-04-20,Friendly,Portugal,0,France,3,Loss,normal ending,True
3884,7769,1952-05-22,Friendly,Belgium,1,France,2,Loss,normal ending,True
3885,7770,1952-05-22,Friendly,France,2,Belgium,1,Win,normal ending,True
3892,7785,1952-05-28,Friendly,Switzerland,0,England,3,Loss,normal ending,True
3893,7786,1952-05-28,Friendly,England,3,Switzerland,0,Win,normal ending,True
3916,7833,1952-09-21,Friendly,Denmark,3,Netherlands,2,Win,normal ending,True
3917,7834,1952-09-21,Friendly,Netherlands,2,Denmark,3,Loss,normal ending,True
3924,7849,1952-10-05,Friendly,France,3,Germany,1,Win,normal ending,True
3925,7850,1952-10-05,Friendly,Germany,1,France,3,Loss,normal ending,True
3930,7861,1952-10-19,Friendly,Belgium,2,Netherlands,1,Win,normal ending,True
3931,7862,1952-10-19,Friendly,Netherlands,1,Belgium,2,Loss,normal ending,True
3934,7869,1952-11-09,Friendly,Germany,5,Switzerland,1,Win,normal ending,True
3935,7870,1952-11-09,Friendly,Switzerland,1,Germany,5,Loss,normal ending,True
3938,7877,1952-11-12,British Championship,England,5,Wales,2,Win,normal ending,True
3939,7878,1952-11-12,British Championship,Wales,2,England,5,Loss,normal ending,True
3944,7889,1952-11-26,Friendly,England,5,Belgium,0,Win,normal ending,True
3945,7890,1952-11-26,Friendly,Belgium,0,England,5,Loss,normal ending,True
3946,7893,1952-12-07,Friendly,Spain,0,Argentina,1,Loss,normal ending,True
3947,7894,1952-12-07,Friendly,Argentina,1,Spain,0,Win,normal ending,True
3948,7897,1952-12-14,Friendly,Portugal,1,Argentina,3,Loss,normal ending,True
3949,7898,1952-12-14,Friendly,Argentina,3,Portugal,1,Win,normal ending,True
3952,7905,1952-12-25,Friendly,France,0,Belgium,1,Loss,normal ending,True
3953,7906,1952-12-25,Friendly,Belgium,1,France,0,Win,normal ending,True
3956,7913,1952-12-28,Friendly,Spain,2,Germany,2,Draw,normal ending,True
3957,7914,1952-12-28,Friendly,Germany,2,Spain,2,Draw,normal ending,True
3968,7937,1953-03-07,Friendly,Netherlands,1,Denmark,2,Loss,normal ending,True
3969,7938,1953-03-07,Friendly,Denmark,2,Netherlands,1,Win,normal ending,True
3976,7953,1953-03-12,Copa America,Brazil,2,Ecuador,0,Win,normal ending,False
3977,7954,1953-03-12,Copa America,Ecuador,0,Brazil,2,Loss,normal ending,False
3982,7965,1953-03-15,Copa America,Brazil,1,Uruguay,0,Win,normal ending,False
3983,7966,1953-03-15,Copa America,Uruguay,0,Brazil,1,Loss,normal ending,False
3992,7985,1953-03-19,Friendly,Spain,3,Belgium,1,Win,normal ending,True
3993,7986,1953-03-19,Friendly,Belgium,1,Spain,3,Loss,normal ending,True
3998,7997,1953-03-22,Friendly,Netherlands,1,Switzerland,2,Loss,normal ending,True
3999,7998,1953-03-22,Friendly,Switzerland,2,Netherlands,1,Win,normal ending,True
4002,8005,1953-03-23,Copa America,Ecuador,0,Uruguay,6,Loss,normal ending,False
4003,8006,1953-03-23,Copa America,Uruguay,6,Ecuador,0,Win,normal ending,False
4024,8049,1953-04-19,Friendly,Netherlands,0,Belgium,2,Loss,normal ending,True
4025,8050,1953-04-19,Friendly,Belgium,2,Netherlands,0,Win,normal ending,True
4036,8073,1953-05-14,Friendly,Argentina,3,England,1,Win,normal ending,True
4037,8074,1953-05-14,Friendly,England,1,Argentina,3,Loss,normal ending,True
4040,8081,1953-05-14,Friendly,France,6,Wales,1,Win,normal ending,True
4041,8082,1953-05-14,Friendly,Wales,1,France,6,Loss,normal ending,True
4042,8085,1953-05-17,Friendly,Argentina,0,England,0,Draw,normal ending,True
4043,8086,1953-05-17,Friendly,England,0,Argentina,0,Draw,normal ending,True
4054,8109,1953-05-31,Friendly,Uruguay,2,England,1,Win,normal ending,True
4055,8110,1953-05-31,Friendly,England,1,Uruguay,2,Loss,normal ending,True
4056,8113,1953-06-08,Friendly,United States,3,England,6,Loss,normal ending,True
4057,8114,1953-06-08,Friendly,England,6,United States,3,Win,normal ending,True
4062,8125,1953-06-27,Friendly,Switzerland,1,Denmark,4,Loss,normal ending,True
4063,8126,1953-06-27,Friendly,Denmark,4,Switzerland,1,Win,normal ending,True
4064,8129,1953-07-05,Friendly,Argentina,1,Spain,0,Win,normal ending,True
4065,8130,1953-07-05,Friendly,Spain,0,Argentina,1,Loss,normal ending,True
4098,8197,1953-10-10,FIFA World Cup qualification,Wales,1,England,4,Loss,normal ending,True
4099,8198,1953-10-10,FIFA World Cup qualification,England,4,Wales,1,Win,normal ending,True
4106,8213,1953-10-25,Friendly,Netherlands,1,Belgium,0,Win,normal ending,True
4107,8214,1953-10-25,Friendly,Belgium,0,Netherlands,1,Loss,normal ending,True
4114,8229,1953-11-11,Friendly,France,2,Switzerland,4,Loss,normal ending,True
4115,8230,1953-11-11,Friendly,Switzerland,4,France,2,Win,normal ending,True
4120,8241,1953-11-22,Friendly,Switzerland,2,Belgium,2,Draw,normal ending,True
4121,8242,1953-11-22,Friendly,Belgium,2,Switzerland,2,Draw,normal ending,True
4136,8273,1954-01-10,FIFA World Cup qualification,Mexico,4,United States,0,Win,normal ending,True
4137,8274,1954-01-10,FIFA World Cup qualification,United States,0,Mexico,4,Loss,normal ending,True
4138,8277,1954-01-14,FIFA World Cup qualification,Mexico,3,United States,1,Win,normal ending,True
4139,8278,1954-01-14,FIFA World Cup qualification,United States,1,Mexico,3,Loss,normal ending,True
4142,8285,1954-03-07,FIFA World Cup qualification,Japan,1,South Korea,5,Loss,normal ending,True
4143,8286,1954-03-07,FIFA World Cup qualification,South Korea,5,Japan,1,Win,normal ending,True
4146,8293,1954-03-14,Friendly,Belgium,0,Portugal,0,Draw,normal ending,True
4147,8294,1954-03-14,Friendly,Portugal,0,Belgium,0,Draw,normal ending,True
4150,8301,1954-03-14,FIFA World Cup qualification,Japan,2,South Korea,2,Draw,normal ending,True
4151,8302,1954-03-14,FIFA World Cup qualification,South Korea,2,Japan,2,Draw,normal ending,True
4166,8333,1954-04-04,Friendly,Belgium,4,Netherlands,0,Win,normal ending,True
4167,8334,1954-04-04,Friendly,Netherlands,0,Belgium,4,Loss,normal ending,True
4176,8353,1954-04-25,Friendly,Switzerland,3,Germany,5,Loss,normal ending,True
4177,8354,1954-04-25,Friendly,Germany,5,Switzerland,3,Win,normal ending,True
4188,8377,1954-05-23,Friendly,Switzerland,3,Uruguay,3,Draw,normal ending,True
4189,8378,1954-05-23,Friendly,Uruguay,3,Switzerland,3,Draw,normal ending,True
4190,8381,1954-05-30,Friendly,Belgium,3,France,3,Draw,normal ending,True
4191,8382,1954-05-30,Friendly,France,3,Belgium,3,Draw,normal ending,True
4192,8385,1954-05-30,Friendly,Switzerland,3,Netherlands,1,Win,normal ending,True
4193,8386,1954-05-30,Friendly,Netherlands,1,Switzerland,3,Loss,normal ending,True
4220,8441,1954-09-19,Friendly,Denmark,1,Switzerland,1,Draw,normal ending,True
4221,8442,1954-09-19,Friendly,Switzerland,1,Denmark,1,Draw,normal ending,True
4224,8449,1954-09-26,Friendly,Belgium,2,Germany,0,Win,normal ending,True
4225,8450,1954-09-26,Friendly,Germany,0,Belgium,2,Loss,normal ending,True
4234,8469,1954-10-16,Friendly,Germany,1,France,3,Loss,normal ending,True
4235,8470,1954-10-16,Friendly,France,3,Germany,1,Win,normal ending,True
4238,8477,1954-10-24,Friendly,Belgium,4,Netherlands,3,Win,normal ending,True
4239,8478,1954-10-24,Friendly,Netherlands,3,Belgium,4,Loss,normal ending,True
4244,8489,1954-11-10,British Championship,England,3,Wales,2,Win,normal ending,True
4245,8490,1954-11-10,British Championship,Wales,2,England,3,Loss,normal ending,True
4246,8493,1954-11-11,Friendly,France,2,Belgium,2,Draw,normal ending,True
4247,8494,1954-11-11,Friendly,Belgium,2,France,2,Draw,normal ending,True
4248,8497,1954-11-28,Friendly,Portugal,1,Argentina,3,Loss,normal ending,True
4249,8498,1954-11-28,Friendly,Argentina,3,Portugal,1,Win,normal ending,True
4250,8501,1954-12-01,Friendly,England,3,Germany,1,Win,normal ending,True
4251,8502,1954-12-01,Friendly,Germany,1,England,3,Loss,normal ending,True
4254,8509,1954-12-19,Friendly,Portugal,0,Germany,3,Loss,normal ending,True
4255,8510,1954-12-19,Friendly,Germany,3,Portugal,0,Win,normal ending,True
4264,8529,1955-03-09,Copa America,Argentina,4,Ecuador,0,Win,normal ending,False
4265,8530,1955-03-09,Copa America,Ecuador,0,Argentina,4,Loss,normal ending,False
4272,8545,1955-03-13,Friendly,Netherlands,1,Denmark,1,Draw,normal ending,True
4273,8546,1955-03-13,Friendly,Denmark,1,Netherlands,1,Draw,normal ending,True
4276,8553,1955-03-17,Friendly,Spain,1,France,2,Loss,normal ending,True
4277,8554,1955-03-17,Friendly,France,2,Spain,1,Win,normal ending,True
4278,8557,1955-03-23,Copa America,Ecuador,1,Uruguay,5,Loss,normal ending,False
4279,8558,1955-03-23,Copa America,Uruguay,5,Ecuador,1,Win,normal ending,False
4280,8561,1955-03-27,Copa America,Argentina,6,Uruguay,1,Win,normal ending,False
4281,8562,1955-03-27,Copa America,Uruguay,1,Argentina,6,Loss,normal ending,False
4292,8585,1955-04-03,Friendly,Netherlands,1,Belgium,0,Win,normal ending,True
4293,8586,1955-04-03,Friendly,Belgium,0,Netherlands,1,Loss,normal ending,True
4306,8613,1955-05-15,Friendly,France,1,England,0,Win,normal ending,True
4307,8614,1955-05-15,Friendly,England,0,France,1,Loss,normal ending,True
4308,8617,1955-05-18,Friendly,Spain,1,England,1,Draw,normal ending,True
4309,8618,1955-05-18,Friendly,England,1,Spain,1,Draw,normal ending,True
4310,8621,1955-05-19,Friendly,Netherlands,4,Switzerland,1,Win,normal ending,True
4311,8622,1955-05-19,Friendly,Switzerland,1,Netherlands,4,Loss,normal ending,True
4312,8625,1955-05-22,Friendly,Portugal,3,England,1,Win,normal ending,True
4313,8626,1955-05-22,Friendly,England,1,Portugal,3,Loss,normal ending,True
4324,8649,1955-06-19,Friendly,Switzerland,0,Spain,3,Loss,normal ending,True
4325,8650,1955-06-19,Friendly,Spain,3,Switzerland,0,Win,normal ending,True
4378,8757,1955-10-02,Friendly,Denmark,1,England,5,Loss,normal ending,True
4379,8758,1955-10-02,Friendly,England,5,Denmark,1,Win,normal ending,True
4382,8765,1955-10-09,Friendly,Switzerland,1,France,2,Loss,normal ending,True
4383,8766,1955-10-09,Friendly,France,2,Switzerland,1,Win,normal ending,True
4386,8773,1955-10-16,Friendly,Netherlands,2,Belgium,2,Draw,normal ending,True
4387,8774,1955-10-16,Friendly,Belgium,2,Netherlands,2,Draw,normal ending,True
4388,8777,1955-10-22,British Championship,Wales,2,England,1,Win,normal ending,True
4389,8778,1955-10-22,British Championship,England,1,Wales,2,Loss,normal ending,True
4416,8833,1955-11-30,Friendly,England,4,Spain,1,Win,normal ending,True
4417,8834,1955-11-30,Friendly,Spain,1,England,4,Loss,normal ending,True
4424,8849,1955-12-25,Friendly,Belgium,2,France,1,Win,normal ending,True
4425,8850,1955-12-25,Friendly,France,1,Belgium,2,Loss,normal ending,True
4442,8885,1956-02-05,Copa America,Argentina,0,Brazil,1,Loss,normal ending,False
4443,8886,1956-02-05,Copa America,Brazil,1,Argentina,0,Win,normal ending,False
4446,8893,1956-02-10,Copa America,Uruguay,0,Brazil,0,Draw,normal ending,True
4447,8894,1956-02-10,Copa America,Brazil,0,Uruguay,0,Draw,normal ending,True
4450,8901,1956-02-15,Copa America,Uruguay,1,Argentina,0,Win,normal ending,True
4451,8902,1956-02-15,Copa America,Argentina,0,Uruguay,1,Loss,normal ending,True
4454,8909,1956-02-26,Pan American Championship,Mexico,1,Costa Rica,1,Draw,normal ending,True
4455,8910,1956-02-26,Pan American Championship,Costa Rica,1,Mexico,1,Draw,normal ending,True
4462,8925,1956-03-06,Pan American Championship,Argentina,4,Costa Rica,3,Win,normal ending,False
4463,8926,1956-03-06,Pan American Championship,Costa Rica,3,Argentina,4,Loss,normal ending,False
4468,8937,1956-03-08,Pan American Championship,Mexico,1,Brazil,2,Loss,normal ending,True
4469,8938,1956-03-08,Pan American Championship,Brazil,2,Mexico,1,Win,normal ending,True
4472,8945,1956-03-11,Friendly,Belgium,1,Switzerland,3,Loss,normal ending,True
4473,8946,1956-03-11,Friendly,Switzerland,3,Belgium,1,Win,normal ending,True
4474,8949,1956-03-13,Pan American Championship,Brazil,7,Costa Rica,1,Win,normal ending,False
4475,8950,1956-03-13,Pan American Championship,Costa Rica,1,Brazil,7,Loss,normal ending,False
4476,8953,1956-03-13,Pan American Championship,Mexico,0,Argentina,0,Draw,normal ending,True
4477,8954,1956-03-13,Pan American Championship,Argentina,0,Mexico,0,Draw,normal ending,True
4478,8957,1956-03-14,Friendly,Germany,1,Netherlands,2,Loss,normal ending,True
4479,8958,1956-03-14,Friendly,Netherlands,2,Germany,1,Win,normal ending,True
4482,8965,1956-03-18,Pan American Championship,Argentina,2,Brazil,2,Draw,normal ending,False
4483,8966,1956-03-18,Pan American Championship,Brazil,2,Argentina,2,Draw,normal ending,False
4488,8977,1956-04-08,Friendly,Belgium,0,Netherlands,1,Loss,normal ending,True
4489,8978,1956-04-08,Friendly,Netherlands,1,Belgium,0,Win,normal ending,True
4490,8981,1956-04-08,Friendly,Portugal,0,Brazil,1,Loss,normal ending,True
4491,8982,1956-04-08,Friendly,Brazil,1,Portugal,0,Win,normal ending,True
4492,8985,1956-04-11,Friendly,Switzerland,1,Brazil,1,Draw,normal ending,True
4493,8986,1956-04-11,Friendly,Brazil,1,Switzerland,1,Draw,normal ending,True
4510,9021,1956-05-09,Friendly,England,4,Brazil,2,Win,normal ending,True
4511,9022,1956-05-09,Friendly,Brazil,2,England,4,Loss,normal ending,True
4522,9045,1956-05-26,Friendly,Germany,1,England,3,Loss,normal ending,True
4523,9046,1956-05-26,Friendly,England,3,Germany,1,Win,normal ending,True
4528,9057,1956-06-03,Friendly,Portugal,3,Spain,1,Win,normal ending,True
4529,9058,1956-06-03,Friendly,Spain,1,Portugal,3,Loss,normal ending,True
4542,9085,1956-06-24,Atlantic Cup,Brazil,2,Uruguay,0,Win,normal ending,True
4543,9086,1956-06-24,Atlantic Cup,Uruguay,0,Brazil,2,Loss,normal ending,True
4552,9105,1956-07-01,Atlantic Cup,Uruguay,1,Argentina,2,Loss,normal ending,True
4553,9106,1956-07-01,Atlantic Cup,Argentina,2,Uruguay,1,Win,normal ending,True
4554,9109,1956-07-08,Atlantic Cup,Argentina,0,Brazil,0,Draw,normal ending,True
4555,9110,1956-07-08,Atlantic Cup,Brazil,0,Argentina,0,Draw,normal ending,True
4586,9173,1956-09-15,Friendly,Switzerland,2,Netherlands,3,Loss,normal ending,True
4587,9174,1956-09-15,Friendly,Netherlands,3,Switzerland,2,Win,normal ending,True
4598,9197,1956-10-10,Friendly,Uruguay,1,Argentina,2,Loss,normal ending,True
4599,9198,1956-10-10,Friendly,Argentina,2,Uruguay,1,Win,normal ending,True
4600,9201,1956-10-14,Friendly,Belgium,2,Netherlands,3,Loss,normal ending,True
4601,9202,1956-10-14,Friendly,Netherlands,3,Belgium,2,Win,normal ending,True
4614,9229,1956-10-31,Friendly,South Korea,1,United States,0,Win,normal ending,True
4615,9230,1956-10-31,Friendly,United States,0,South Korea,1,Loss,normal ending,True
4616,9233,1956-11-04,Friendly,Denmark,2,Netherlands,2,Draw,normal ending,True
4617,9234,1956-11-04,Friendly,Netherlands,2,Denmark,2,Draw,normal ending,True
4622,9245,1956-11-11,FIFA World Cup qualification,France,6,Belgium,3,Win,normal ending,True
4623,9246,1956-11-11,FIFA World Cup qualification,Belgium,3,France,6,Loss,normal ending,True
4626,9253,1956-11-14,Friendly,Argentina,2,Uruguay,2,Draw,normal ending,True
4627,9254,1956-11-14,Friendly,Uruguay,2,Argentina,2,Draw,normal ending,True
4628,9257,1956-11-14,British Championship,England,3,Wales,1,Win,normal ending,True
4629,9258,1956-11-14,British Championship,Wales,1,England,3,Loss,normal ending,True
4634,9269,1956-11-21,Friendly,Germany,1,Switzerland,3,Loss,normal ending,True
4635,9270,1956-11-21,Friendly,Switzerland,3,Germany,1,Win,normal ending,True
4640,9281,1956-12-05,FIFA World Cup qualification,England,5,Denmark,2,Win,normal ending,True
4641,9282,1956-12-05,FIFA World Cup qualification,Denmark,2,England,5,Loss,normal ending,True
4646,9293,1956-12-23,Friendly,Germany,4,Belgium,1,Win,normal ending,True
4647,9294,1956-12-23,Friendly,Belgium,1,Germany,4,Loss,normal ending,True
4650,9301,1957-01-30,Friendly,Spain,5,Netherlands,1,Win,normal ending,True
4651,9302,1957-01-30,Friendly,Netherlands,1,Spain,5,Loss,normal ending,True
4658,9317,1957-03-07,Copa America,Ecuador,2,Uruguay,5,Loss,normal ending,False
4659,9318,1957-03-07,Copa America,Uruguay,5,Ecuador,2,Win,normal ending,False
4664,9329,1957-03-10,FIFA World Cup qualification,Spain,2,Switzerland,2,Draw,normal ending,True
4665,9330,1957-03-10,FIFA World Cup qualification,Switzerland,2,Spain,2,Draw,normal ending,True
4670,9341,1957-03-17,Copa America,Argentina,3,Ecuador,0,Win,normal ending,False
4671,9342,1957-03-17,Copa America,Ecuador,0,Argentina,3,Loss,normal ending,False
4674,9349,1957-03-20,Copa America,Argentina,4,Uruguay,0,Win,normal ending,False
4675,9350,1957-03-20,Copa America,Uruguay,0,Argentina,4,Loss,normal ending,False
4678,9357,1957-03-21,Copa America,Brazil,7,Ecuador,1,Win,normal ending,False
4679,9358,1957-03-21,Copa America,Ecuador,1,Brazil,7,Loss,normal ending,False
4688,9377,1957-03-28,Copa America,Brazil,2,Uruguay,3,Loss,normal ending,False
4689,9378,1957-03-28,Copa America,Uruguay,3,Brazil,2,Win,normal ending,False
4690,9381,1957-03-31,Friendly,Belgium,0,Spain,5,Loss,normal ending,True
4691,9382,1957-03-31,Friendly,Spain,5,Belgium,0,Win,normal ending,True
4698,9397,1957-04-03,Copa America,Argentina,3,Brazil,0,Win,normal ending,False
4699,9398,1957-04-03,Copa America,Brazil,0,Argentina,3,Loss,normal ending,False
4700,9401,1957-04-03,Friendly,Netherlands,1,Germany,2,Loss,normal ending,True
4701,9402,1957-04-03,Friendly,Germany,2,Netherlands,1,Win,normal ending,True
4706,9413,1957-04-07,FIFA World Cup qualification,Mexico,6,United States,0,Win,normal ending,True
4707,9414,1957-04-07,FIFA World Cup qualification,United States,0,Mexico,6,Loss,normal ending,True
4718,9437,1957-04-28,Friendly,Netherlands,1,Belgium,1,Draw,normal ending,True
4719,9438,1957-04-28,Friendly,Belgium,1,Netherlands,1,Draw,normal ending,True
4720,9441,1957-04-28,FIFA World Cup qualification,United States,2,Mexico,7,Loss,normal ending,True
4721,9442,1957-04-28,FIFA World Cup qualification,Mexico,7,United States,2,Win,normal ending,True
4730,9461,1957-05-15,FIFA World Cup qualification,Denmark,1,England,4,Loss,normal ending,True
4731,9462,1957-05-15,FIFA World Cup qualification,England,4,Denmark,1,Win,normal ending,True
4742,9485,1957-05-23,Copa Newton,Uruguay,0,Argentina,0,Draw,normal ending,True
4743,9486,1957-05-23,Copa Newton,Argentina,0,Uruguay,0,Draw,normal ending,True
4760,9521,1957-06-05,Copa Lipton,Argentina,1,Uruguay,1,Draw,normal ending,True
4761,9522,1957-06-05,Copa Lipton,Uruguay,1,Argentina,1,Draw,normal ending,True
4764,9529,1957-06-11,Friendly,Brazil,2,Portugal,1,Win,normal ending,True
4765,9530,1957-06-11,Friendly,Portugal,1,Brazil,2,Loss,normal ending,True
4766,9533,1957-06-16,Friendly,Brazil,3,Portugal,0,Win,normal ending,True
4767,9534,1957-06-16,Friendly,Portugal,0,Brazil,3,Loss,normal ending,True
4774,9549,1957-06-22,FIFA World Cup qualification,Canada,5,United States,1,Win,normal ending,True
4775,9550,1957-06-22,FIFA World Cup qualification,United States,1,Canada,5,Loss,normal ending,True
4780,9561,1957-06-30,FIFA World Cup qualification,Mexico,3,Canada,0,Win,normal ending,True
4781,9562,1957-06-30,FIFA World Cup qualification,Canada,0,Mexico,3,Loss,normal ending,True
4784,9569,1957-07-03,FIFA World Cup qualification,Mexico,2,Canada,0,Win,normal ending,True
4785,9570,1957-07-03,FIFA World Cup qualification,Canada,0,Mexico,2,Loss,normal ending,True
4788,9577,1957-07-06,FIFA World Cup qualification,United States,2,Canada,3,Loss,normal ending,True
4789,9578,1957-07-06,FIFA World Cup qualification,Canada,3,United States,2,Win,normal ending,True
4790,9581,1957-07-07,Copa Roca,Brazil,1,Argentina,2,Loss,normal ending,True
4791,9582,1957-07-07,Copa Roca,Argentina,2,Brazil,1,Win,normal ending,True
4792,9585,1957-07-10,Copa Roca,Brazil,2,Argentina,0,Win,normal ending,True
4793,9586,1957-07-10,Copa Roca,Argentina,0,Brazil,2,Loss,normal ending,True
4834,9669,1957-10-19,British Championship,Wales,0,England,4,Loss,normal ending,True
4835,9670,1957-10-19,British Championship,England,4,Wales,0,Win,normal ending,True
4838,9677,1957-10-20,FIFA World Cup qualification,Mexico,2,Costa Rica,0,Win,normal ending,True
4839,9678,1957-10-20,FIFA World Cup qualification,Costa Rica,0,Mexico,2,Loss,normal ending,True
4844,9689,1957-10-27,FIFA World Cup qualification,Belgium,0,France,0,Draw,normal ending,True
4845,9690,1957-10-27,FIFA World Cup qualification,France,0,Belgium,0,Draw,normal ending,True
4846,9693,1957-10-27,FIFA World Cup qualification,Costa Rica,1,Mexico,1,Draw,normal ending,True
4847,9694,1957-10-27,FIFA World Cup qualification,Mexico,1,Costa Rica,1,Draw,normal ending,True
4858,9717,1957-11-17,Friendly,Netherlands,5,Belgium,2,Win,normal ending,True
4859,9718,1957-11-17,Friendly,Belgium,2,Netherlands,5,Loss,normal ending,True
4864,9729,1957-11-24,FIFA World Cup qualification,Switzerland,1,Spain,4,Loss,normal ending,True
4865,9730,1957-11-24,FIFA World Cup qualification,Spain,4,Switzerland,1,Win,normal ending,True
4866,9733,1957-11-27,Friendly,England,4,France,0,Win,normal ending,True
4867,9734,1957-11-27,Friendly,France,0,England,4,Loss,normal ending,True
4888,9777,1958-03-02,Friendly,Belgium,0,Germany,2,Loss,normal ending,True
4889,9778,1958-03-02,Friendly,Germany,2,Belgium,0,Win,normal ending,True
4890,9781,1958-03-13,Friendly,France,2,Spain,2,Draw,normal ending,True
4891,9782,1958-03-13,Friendly,Spain,2,France,2,Draw,normal ending,True
4892,9785,1958-03-19,Friendly,Germany,2,Spain,0,Win,normal ending,True
4893,9786,1958-03-19,Friendly,Spain,0,Germany,2,Loss,normal ending,True
4898,9797,1958-04-06,Friendly,Uruguay,1,Argentina,0,Win,normal ending,True
4899,9798,1958-04-06,Friendly,Argentina,0,Uruguay,1,Loss,normal ending,True
4900,9801,1958-04-13,Friendly,Belgium,2,Netherlands,7,Loss,normal ending,True
4901,9802,1958-04-13,Friendly,Netherlands,7,Belgium,2,Win,normal ending,True
4902,9805,1958-04-13,Friendly,Spain,1,Portugal,0,Win,normal ending,True
4903,9806,1958-04-13,Friendly,Portugal,0,Spain,1,Loss,normal ending,True
4904,9809,1958-04-16,Friendly,France,0,Switzerland,0,Draw,normal ending,True
4905,9810,1958-04-16,Friendly,Switzerland,0,France,0,Draw,normal ending,True
4916,9833,1958-04-30,Friendly,Argentina,2,Uruguay,0,Win,normal ending,True
4917,9834,1958-04-30,Friendly,Uruguay,0,Argentina,2,Loss,normal ending,True
4924,9849,1958-05-07,Friendly,England,2,Portugal,1,Win,normal ending,True
4925,9850,1958-05-07,Friendly,Portugal,1,England,2,Loss,normal ending,True
4942,9885,1958-05-25,Friendly,Denmark,3,Poland,2,Win,normal ending,True
4943,9886,1958-05-25,Friendly,Poland,2,Denmark,3,Loss,normal ending,True
4944,9889,1958-05-26,Friendly,Switzerland,0,Belgium,2,Loss,normal ending,True
4945,9890,1958-05-26,Friendly,Belgium,2,Switzerland,0,Win,normal ending,True
4964,9929,1958-09-24,Friendly,Denmark,1,Germany,1,Draw,normal ending,True
4965,9930,1958-09-24,Friendly,Germany,1,Denmark,1,Draw,normal ending,True
4966,9933,1958-09-28,Friendly,Belgium,2,Netherlands,3,Loss,normal ending,True
